,O,D,flow,O_id,D_id
0,3.60811E+11,3.60811E+11,99346,5645,5645
1,3.6061E+11,3.6061E+11,39224,3893,3893
2,3.6081E+11,3.6081E+11,38677,5073,5073
3,3.6085E+11,3.6085E+11,26365,6555,6555
4,3.6081E+11,3.6081E+11,22575,5135,5135
5,3.6005E+11,3.6005E+11,16128,778,778
6,3.6061E+11,3.6061E+11,14253,3696,3696
7,3.6085E+11,3.6085E+11,13948,6523,6523
8,3.6061E+11,3.6061E+11,13693,3734,3734
9,3.6047E+11,3.6047E+11,12704,2044,2044
10,3.60471E+11,3.60471E+11,11845,3128,3128
11,3.6085E+11,3.6085E+11,11236,6570,6570
12,3.6061E+11,3.6061E+11,10377,3720,3720
13,3.6005E+11,3.6005E+11,10141,1136,1136
14,3.60811E+11,3.60811E+11,9768,5810,5810
15,3.6061E+11,3.6061E+11,9356,3693,3693
16,3.6061E+11,3.6061E+11,9035,3326,3326
17,3.6061E+11,3.6061E+11,8717,3311,3311
18,3.60471E+11,3.60471E+11,8428,2770,2770
19,3.60811E+11,3.60811E+11,8378,5835,5835
20,3.6047E+11,3.6047E+11,8258,1561,1561
21,3.60811E+11,3.60811E+11,7917,5885,5885
22,3.6061E+11,3.6061E+11,7501,3701,3701
23,3.6005E+11,3.6005E+11,7489,202,202
24,3.6061E+11,3.6061E+11,7458,3739,3739
25,3.6005E+11,3.6005E+11,6764,273,273
26,3.6005E+11,3.6005E+11,6763,121,121
27,3.6005E+11,3.6005E+11,5814,685,685
28,3.6061E+11,3.6061E+11,5713,3584,3584
29,3.6061E+11,3.6061E+11,5606,3756,3756
30,3.6085E+11,3.6085E+11,5600,6543,6543
31,3.6005E+11,3.6005E+11,5281,13,13
32,3.60811E+11,3.60811E+11,5253,6096,6096
33,3.60812E+11,3.60812E+11,5051,6213,6213
34,3.6061E+11,3.6061E+11,4871,3755,3755
35,3.6085E+11,3.6085E+11,4837,6364,6364
36,3.6085E+11,3.6085E+11,4755,6469,6469
37,3.6005E+11,3.6005E+11,4731,953,953
38,3.60811E+11,3.60811E+11,4727,5807,5807
39,3.6061E+11,3.6061E+11,4671,3741,3741
40,3.6061E+11,3.6061E+11,4654,3740,3740
41,3.6005E+11,3.6005E+11,4639,232,232
42,3.6061E+11,3.6061E+11,4611,3621,3621
43,3.6005E+11,3.6005E+11,4573,120,120
44,3.60811E+11,3.60811E+11,4562,6148,6148
45,3.6061E+11,3.6061E+11,4520,3720,3696
46,3.6061E+11,3.6061E+11,4494,4478,4478
47,3.6061E+11,3.6061E+11,4355,3696,3720
48,3.6061E+11,3.6061E+11,4249,3508,3508
49,3.6085E+11,3.6085E+11,4235,6488,6488
50,3.60471E+11,3.60471E+11,4189,2689,2689
51,3.6047E+11,3.6047E+11,4185,1530,1530
52,3.6061E+11,3.6061E+11,4170,3662,3662
53,3.6061E+11,3.6061E+11,4167,3734,3739
54,3.6085E+11,3.6085E+11,4136,6566,6566
55,3.6061E+11,3.6061E+11,4135,3740,3739
56,3.6061E+11,3.6061E+11,4125,3739,3734
57,3.6061E+11,3.6061E+11,4053,3421,3421
58,3.6081E+11,3.6081E+11,4043,4874,4874
59,3.6047E+11,3.6047E+11,4007,2032,2032
60,3.6047E+11,3.6047E+11,3969,1225,1225
61,3.6061E+11,3.6061E+11,3889,4051,4051
62,3.6081E+11,3.6081E+11,3881,4861,4861
63,3.6047E+11,3.6047E+11,3843,1183,1183
64,3.60471E+11,3.60471E+11,3804,2742,2742
65,3.6061E+11,3.6061E+11,3787,3734,3720
66,3.60811E+11,3.60811E+11,3770,5840,5840
67,3.6005E+11,3.6005E+11,3767,389,389
68,3.6085E+11,3.6085E+11,3765,6408,6408
69,3.6085E+11,3.6085E+11,3700,6314,6314
70,3.6061E+11,3.6061E+11,3677,4351,4351
71,3.60811E+11,3.60811E+11,3660,5927,5927
72,3.6085E+11,3.6085E+11,3646,6592,6592
73,3.6085E+11,3.6085E+11,3624,6436,6436
74,3.6085E+11,3.6085E+11,3619,6571,6571
75,3.6047E+11,3.6047E+11,3592,1184,1184
76,3.6047E+11,3.6047E+11,3552,1197,1197
77,3.6061E+11,3.6061E+11,3550,3720,3734
78,3.6061E+11,3.6061E+11,3502,3779,3779
79,3.60811E+11,3.60811E+11,3488,5599,5599
80,3.60811E+11,3.60811E+11,3418,5870,5870
81,3.60811E+11,3.60811E+11,3398,5802,5802
82,3.6047E+11,3.6047E+11,3392,1188,1188
83,3.60811E+11,3.60811E+11,3385,6103,6103
84,3.6061E+11,3.6061E+11,3369,3727,3727
85,3.6061E+11,3.6061E+11,3332,3676,3676
86,3.60811E+11,3.60811E+11,3289,5651,5651
87,3.6061E+11,3.6061E+11,3263,3755,3756
88,3.6085E+11,3.6085E+11,3251,6485,6485
89,3.6061E+11,3.6061E+11,3251,4379,4379
90,3.6061E+11,3.6061E+11,3218,3675,3675
91,3.6061E+11,3.6061E+11,3212,4481,4481
92,3.6005E+11,3.6005E+11,3206,1094,1094
93,3.6047E+11,3.6047E+11,3205,1410,1410
94,3.6047E+11,3.6047E+11,3202,1890,1890
95,3.60811E+11,3.60811E+11,3200,5807,5810
96,3.6085E+11,3.6085E+11,3199,6522,6522
97,3.6061E+11,3.6061E+11,3195,3734,3755
98,3.6081E+11,3.6081E+11,3195,4521,4521
99,3.6085E+11,3.6085E+11,3156,6453,6453
100,3.6047E+11,3.6047E+11,3112,1933,1933
101,3.6061E+11,3.6061E+11,3100,3755,3734
102,3.6085E+11,3.6085E+11,3096,6521,6521
103,3.6085E+11,3.6085E+11,3064,6499,6499
104,3.6081E+11,3.6081E+11,3053,4807,4807
105,3.6061E+11,3.6061E+11,3051,3279,3279
106,3.6061E+11,3.6061E+11,3036,3814,3814
107,3.60051E+11,3.60051E+11,3026,1156,1156
108,3.6081E+11,3.6081E+11,3010,4522,4522
109,3.60471E+11,3.60471E+11,2999,2703,2703
110,3.6047E+11,3.6047E+11,2989,1167,1167
111,3.6061E+11,3.6061E+11,2977,4355,4355
112,3.6081E+11,3.6081E+11,2974,5266,5266
113,3.6081E+11,3.6081E+11,2969,4542,4542
114,3.6061E+11,3.6061E+11,2962,3584,3696
115,3.60471E+11,3.60471E+11,2932,2778,2778
116,3.6061E+11,3.6061E+11,2913,3699,3699
117,3.6061E+11,3.6061E+11,2911,3695,3695
118,3.6061E+11,3.6061E+11,2898,3615,3615
119,3.6061E+11,3.6061E+11,2857,3734,3756
120,3.60812E+11,3.60812E+11,2847,6214,6214
121,3.6085E+11,3.6085E+11,2830,6534,6534
122,3.6085E+11,3.6085E+11,2804,6270,6270
123,3.6085E+11,3.6085E+11,2801,6487,6487
124,3.60811E+11,3.60811E+11,2794,5777,5777
125,3.60811E+11,3.60811E+11,2787,5986,5986
126,3.6081E+11,3.6081E+11,2784,4741,4741
127,3.6061E+11,3.6061E+11,2774,3598,3598
128,3.6061E+11,3.6061E+11,2772,3471,3471
129,3.6061E+11,3.6061E+11,2768,3696,3584
130,3.6061E+11,3.6061E+11,2753,4371,4371
131,3.6081E+11,3.6081E+11,2746,4492,4492
132,3.60471E+11,3.60471E+11,2735,2581,2581
133,3.6061E+11,3.6061E+11,2704,4034,4034
134,3.6085E+11,3.6085E+11,2676,6437,6437
135,3.6085E+11,3.6085E+11,2674,6434,6434
136,3.6061E+11,3.6061E+11,2669,3756,3755
137,3.6061E+11,3.6061E+11,2668,3780,3780
138,3.6085E+11,3.6085E+11,2663,6450,6450
139,3.6061E+11,3.6061E+11,2662,3739,3740
140,3.6085E+11,3.6085E+11,2629,6344,6344
141,3.6061E+11,3.6061E+11,2622,4479,4479
142,3.6005E+11,3.6005E+11,2616,669,669
143,3.6061E+11,3.6061E+11,2610,4484,4484
144,3.6005E+11,3.6005E+11,2604,0,0
